Datetime,Transaction,Description
9/24/18 11:56,Add/Drop,"LURI dropped Jesse James, Pit TE to Free Agency. LURI added Ronald Jones, TB RB from Free Agency to Bench."
9/23/18 17:17,Add/Drop,"GABE dropped Phillip Dorsett, NE WR to Free Agency. GABE added Chris Godwin, TB WR from Free Agency to Bench."
9/23/18 14:28,Add/Drop,"GABE added Phillip Dorsett, NE WR from Free Agency to Bench. GABE dropped Will Dissly, Sea TE to Waivers."
9/23/18 14:13,Add/Drop,"EA added Jared Goff, LAR QB from Free Agency to Bench. EA dropped Greg Zuerlein, LAR K to Waivers."
9/23/18 14:10,Add/Drop,"LURI dropped John Kelly, LAR RB to Free Agency. LURI added Jesse James, Pit TE from Free Agency to Bench."
9/23/18 12:49,Add/Drop,"LURI added John Kelly, LAR RB from Free Agency to Bench. LURI dropped Spencer Ware, KC RB to Free Agency."
9/23/18 10:45,Add/Drop,"BULO dropped Austin Seferian-Jenkins, Jax TE to Free Agency. BULO added Calvin Ridley, Atl WR from Free Agency to Bench."
9/23/18 10:43,Add/Drop,"BULO dropped Jesse James, Pit TE to Free Agency. BULO added Austin Seferian-Jenkins, Jax TE from Free Agency to Bench."
9/23/18 10:43,Add/Drop,"BULO dropped DeVante Parker, Mia WR to Waivers. BULO added Jesse James, Pit TE from Free Agency to Bench."
9/23/18 8:29,Add/Drop,"LURI added Spencer Ware, KC RB from Free Agency to Bench. LURI dropped Jesse James, Pit TE to Free Agency."
9/22/18 13:30,Add/Drop,"AMIT added Alfred Blue, Hou RB from Free Agency to Bench. AMIT dropped Chris Godwin, TB WR to Free Agency."
9/22/18 13:29,Add,"AMIT added Chris Godwin, TB WR from Free Agency to Bench."
9/22/18 13:21,Add/Drop,"SHAR added Chase Edmonds, Ari RB from Free Agency to Bench. SHAR dropped Jordy Nelson, Oak WR to Waivers."
9/22/18 11:05,Add/Drop,"LURI added Jesse James, Pit TE from Free Agency to Bench. LURI dropped Vance McDonald, Pit TE to Free Agency."
9/21/18 22:59,Add/Drop,"GABE added Jordan Wilkins, Ind RB from Free Agency to Bench. GABE dropped Austin Seferian-Jenkins, Jax TE to Waivers."
9/21/18 16:14,Add/Drop,"LURI dropped Geronimo Allison, GB WR to Free Agency. LURI added Vance McDonald, Pit TE from Free Agency to Bench."
9/21/18 16:09,Add/Drop,"LURI added Geronimo Allison, GB WR from Free Agency to Bench. LURI dropped Dante Pettis, SF WR to Free Agency."
9/21/18 15:43,Add/Drop,"LURI dropped Benjamin Watson, NO TE to Waivers. LURI added Dante Pettis, SF WR from Free Agency to Bench."
9/21/18 14:01,Trade Upheld ,"EA traded Kerryon Johnson, Det RB to LURI. LURI traded Giovani Bernard, Cin RB to EA."
9/21/18 14:00,Accepted Trade,"EA traded Kerryon Johnson, Det RB to LURI. LURI traded Giovani Bernard, Cin RB to EA."
9/21/18 12:48,Trade Upheld ,"stdy traded Julio Jones, Atl WR to AMIT. JOSE traded Philip Rivers, LAC QB to AMIT. AMIT traded Lamar Miller, Hou RB to JOSE. AMIT traded Julian Edelman, NE WR to JOSE. AMIT traded Phillip Lindsay, Den RB to JOSE. JOSE dropped Corey Coleman, FA WR to Waivers"
9/21/18 4:08,Accepted Trade,"stdy traded Julio Jones, Atl WR to AMIT. JOSE traded Philip Rivers, LAC QB to AMIT. AMIT traded Lamar Miller, Hou RB to JOSE. AMIT traded Julian Edelman, NE WR to JOSE. AMIT traded Phillip Lindsay, Den RB to JOSE. JOSE dropped Corey Coleman, FA WR to Waivers"
9/20/18 15:25,Add/Drop,"LURI added Benjamin Watson, NO TE from Free Agency to Bench. LURI dropped Vance McDonald, Pit TE to Free Agency."
9/20/18 12:54,Trade Upheld ,"LURI traded Kyle Rudolph, Min TE to SLON. LURI traded Kenny Golladay, Det WR to SLON. SLON traded Giovani Bernard, Cin RB to LURI. SLON traded A.J. Green, Cin WR to LURI."
9/20/18 12:21,Add/Drop,"POSN added Austin Hooper, Atl TE from Free Agency to Bench. POSN dropped Jamison Crowder, Wsh WR to Waivers."
9/20/18 6:07,Add/Drop,"LURI added Vance McDonald, Pit TE from Free Agency to Bench. LURI dropped Benjamin Watson, NO TE to Free Agency."
9/20/18 4:31,Add/Drop,"EA dropped Jets D/ST, NYJ D/ST to Free Agency. EA added Texans D/ST, Hou D/ST from Waivers to Bench for $0."
9/19/18 19:34,Add/Drop,"JOSE added Tavon Austin, Dal RB from Free Agency to Bench. JOSE dropped Nick Chubb, Cle RB to Waivers."
9/19/18 19:04,Add/Drop,"GABE dropped Chris Ivory, Buf RB to Free Agency. GABE added Jordan Matthews, Phi WR from Free Agency to Bench."
9/19/18 17:22,Add/Drop,"LURI added Benjamin Watson, NO TE from Free Agency to Bench. LURI dropped Sterling Shepard, NYG WR to Waivers."
9/19/18 17:11,Accepted Trade,"LURI traded Kyle Rudolph, Min TE to SLON. LURI traded Kenny Golladay, Det WR to SLON. SLON traded Giovani Bernard, Cin RB to LURI. SLON traded A.J. Green, Cin WR to LURI."
9/19/18 15:50,Add/Drop,"EA dropped Alex Smith, Wsh QB to Waivers. EA added Jets D/ST, NYJ D/ST from Free Agency to Bench."
9/19/18 8:33,Add/Drop,"BULO dropped Panthers D/ST, Car D/ST to Free Agency. BULO added Cowboys D/ST, Dal D/ST from Free Agency to Bench."
9/19/18 4:31,Add/Drop,"LURI dropped Geronimo Allison, GB WR to Waivers. LURI added Corey Clement, Phi RB from Waivers to Bench for $0."
9/19/18 4:31,Add/Drop,"LURI added Packers D/ST, GB D/ST from Waivers to Bench. LURI dropped Redskins D/ST, Wsh D/ST to Waivers for $0."
9/19/18 4:31,Add/Drop,"SHAR dropped Chris Boswell, Pit K to Waivers. SHAR added Mason Crosby, GB K from Waivers to Bench for $0."
9/19/18 4:31,Add/Drop,"BULO dropped Steelers D/ST, Pit D/ST to Waivers. BULO added Panthers D/ST, Car D/ST from Waivers to Bench for $2."
